Symbol,Date,Close,Volume
HCH,20151201,0.125,40000
HDX,20151201,0.105,90752
HEG,20151201,0.003,148827
HFA,20151201,3.02,313430
HFR,20151201,1.565,440398
HGG,20151201,6.47,2805780
HGO,20151201,0.175,86860
HHV,20151201,1.185,196970
HHY,20151201,0.099,117000
HIG,20151201,0.068,20000
HIL,20151201,0.38,171951
HIT,20151201,0.285,5000
HLO,20151201,0.4,30000
HLX,20151201,0.039,19500
HNG,20151201,0.49,531
HNR,20151201,0.003,1000000
HOM,20151201,0.46,20807
HPI,20151201,2.62,50769
HRL,20151201,0.08,200000
HRR,20151201,0.096,60000
HSK,20151201,0.063,178005
HSN,20151201,2.78,558033
HSO,20151201,2.69,9432822
HTA,20151201,0.082,8233
HUB,20151201,3.48,74489
HUO,20151201,4.1,15684
HVN,20151201,4.15,2739068
HZN,20151201,0.099,848640
IAA,20151201,61.66,9876
IAF,20151201,105.4,8827
IAG,20151201,5.69,9772703
IAU,20151201,0.13,32577
IB8,20151201,0.21,2000
IBC,20151201,0.485,52226
IBG,20151201,0.04,497240
IBK,20151201,43.11,1080
ICG,20151201,0.005,2008943
ICN,20151201,0.032,167236
ICQ,20151201,0.93,275877
ICS,20151201,1.66,5398
ICT,20151201,0.094,15000
IDR,20151201,2.1,202879
IDT,20151201,0.36,140383
IDX,20151201,1.8,170989
IDZ,20151201,0.365,190000
IEC,20151201,0.011,53000
IEL,20151201,3.44,1083258
IEM,20151201,47.15,14535
IEU,20151201,57.81,30231
IFL,20151201,9.61,854768
IFM,20151201,0.705,641262
IFN,20151201,0.46,1217422
IGO,20151201,2.45,5584972
IGS,20151201,0.003,3315000
IHD,20151201,13.61,31343
IHK,20151201,27.68,1391
IJH,20151201,203.16,703
IJP,20151201,17.23,48533
IJR,20151201,161.31,162
IKO,20151201,73.53,351
IKW,20151201,0.003,100000
ILB,20151201,114.64,921
ILC,20151201,22.8,66458
ILU,20151201,5.8,3121993
IMA,20151201,0.08,500000
IMD,20151201,0.22,78847
IMF,20151201,1.42,274101
IMU,20151201,0.011,440910
INA,20151201,2.67,70358
IND,20151201,0.013,1496
INL,20151201,0.006,131950
IOF,20151201,3.88,2595068
