Symbol,Date,Close,Volume
IPD,20151203,1.06,672628
IPE,20151203,0.26,57130
IPH,20151203,8.3,695595
IPL,20151203,3.83,5996425
IPP,20151203,3.85,653284
IPT,20151203,0.03,1591221
IQ3,20151203,0.31,2666
IQE,20151203,0.455,297310
IRE,20151203,9.81,171128
IRI,20151203,2.13,137313
IRM,20151203,0.01,180000
IRU,20151203,163.62,254
ISD,20151203,4.66,1081569
ISN,20151203,0.055,88300
ISO,20151203,3.85,1160
ISU,20151203,1.205,870303
ISX,20151203,0.37,450432
ITD,20151203,0.24,10597
ITW,20151203,18.62,4883
IVC,20151203,11.7,472451
IVE,20151203,83.15,9871
IVO,20151203,0.054,1195646
IVV,20151203,287.78,21845
IVX,20151203,0.008,822500
IWG,20151203,0.15,547921
IXI,20151203,128.52,840
IXJ,20151203,143.04,5414
IXP,20151203,82.2,4
IXR,20151203,0.008,462130
IZZ,20151203,51.37,5092
JAL,20151203,0.031,190667
JBH,20151203,17.8,1439716
JHC,20151203,3.22,1330196
JHX,20151203,16.69,1145631
JIN,20151203,1.07,7538
JKA,20151203,0.007,56500
JKL,20151203,0.18,1025000
JPR,20151203,0.25,200000
KAM,20151203,0.74,100900
KAR,20151203,1.765,780506
KBC,20151203,0.185,22500
KBL,20151203,0.022,1464000
KBU,20151203,0.155,65000
KCN,20151203,0.52,522409
KDL,20151203,0.055,30000
KDR,20151203,0.115,90000
KGL,20151203,0.1,4800
KII,20151203,2.49,17500
KIK,20151203,0.005,100000
KIN,20151203,0.094,76000
KKL,20151203,0.009,3289295
KKT,20151203,0.275,134736
KMD,20151203,1.5,433848
KNL,20151203,0.17,43352
KNM,20151203,0.014,2506963
KOV,20151203,2.93,6000
KPC,20151203,0.15,124852
KPO,20151203,0.08,815318
KRC,20151203,0.016,10000
KRM,20151203,0.18,164922
KSC,20151203,1.11,37128
KSL,20151203,1.09,184561
KSN,20151203,0.01,50000
LAA,20151203,0.29,190974
LAU,20151203,0.5,58218
LBT,20151203,0.15,50000
LCD,20151203,0.03,88981
LCK,20151203,0.235,89261
LCM,20151203,0.68,5283
LCR,20151203,0.003,2064286
LCT,20151203,0.048,694017
LEG,20151203,0.009,1000000
LEP,20151203,3.81,30193
LGD,20151203,0.21,448096
LGO,20151203,0.009,750000
LHC,20151203,3.18,31713
LIC,20151203,2.55,357862
LIT,20151203,0.098,1750352
LKO,20151203,0.001,950000
LLC,20151203,13,2115777
LLO,20151203,0.34,4659
LMG,20151203,0.008,640010
LML,20151203,0.039,12000
LMW,20151203,0.52,61000
LNG,20151203,1.18,3370413
LNK,20151203,7.36,521758
LNR,20151203,6.05,600
LNY,20151203,0.003,4428333
LOM,20151203,0.27,531204
LOV,20151203,3.5,119994
LRR,20151203,0.001,1000000
LRS,20151203,0.007,1762310
LSR,20151203,0.032,477995
LTR,20151203,0.01,200505
LTX,20151203,0.023,900000
LVT,20151203,0.29,123103
LWP,20151203,0.006,21701050
LYC,20151203,0.125,23543422
MAD,20151203,0.078,33500
MAH,20151203,0.097,606054
MAI,20151203,0.53,8129
MAQ,20151203,8.89,330
MAR,20151203,0.004,34000
MAT,20151203,0.18,84406
MBE,20151203,0.365,1792890
MBK,20151203,0.007,1074950
MBT,20151203,0.06,1101
MCE,20151203,0.61,10000
MCP,20151203,0.71,13400
MCR,20151203,0.235,278032
MCS,20151203,0.06,235000
MCT,20151203,0.018,305280
MDC,20151203,0.21,129617
MDG,20151203,0.071,19563
MDR,20151203,0.045,4800734
MEB,20151203,0.325,540500
MED,20151203,0.04,25000
MEI,20151203,0.025,693750
MEL,20151203,0.056,807267
MEO,20151203,0.015,148484
MEP,20151203,0.063,195705
MEU,20151203,0.029,593100
MEZ,20151203,2.16,2465
MFF,20151203,2.07,313606
MFG,20151203,26.65,923304
MGC,20151203,2.26,382676
MGE,20151203,2.67,928441
MGL,20151203,0.023,300000
