Date,Close,Volume,SMA
4/07/2014,3.72,2444512,3.3970000000000007
7/07/2014,3.69,2189970,3.404333333333334
8/07/2014,3.69,1736058,3.4130000000000007
9/07/2014,3.64,2686400,3.4203333333333332
10/07/2014,3.62,1421045,3.4266666666666667
11/07/2014,3.62,1471500,3.4330000000000007
14/07/2014,3.6,1694859,3.4406666666666665
15/07/2014,3.58,1338635,3.4483333333333333
16/07/2014,3.58,1525172,3.4576666666666673
17/07/2014,3.65,2699258,3.4710000000000005
18/07/2014,3.63,890143,3.4829999999999997
21/07/2014,3.6,926898,3.4916666666666667
22/07/2014,3.62,2039041,3.5013333333333336
23/07/2014,3.58,2011789,3.5103333333333335
24/07/2014,3.59,1364230,3.521
25/07/2014,3.61,817954,3.535333333333333
28/07/2014,3.61,987233,3.548333333333333
29/07/2014,3.59,1290278,3.559333333333333
30/07/2014,3.67,1201254,3.571333333333333
31/07/2014,3.66,1072741,3.5796666666666663
1/08/2014,3.62,1392165,3.5876666666666663
4/08/2014,3.65,741978,3.5959999999999996
5/08/2014,3.61,1122738,3.602
6/08/2014,3.58,2671625,3.607
7/08/2014,3.43,8091480,3.605000000000001
8/08/2014,3.46,2645355,3.6036666666666672
11/08/2014,3.46,1596563,3.604
12/08/2014,3.47,1883380,3.601
13/08/2014,3.45,1536524,3.5966666666666667
14/08/2014,3.46,1260482,3.591333333333333
15/08/2014,3.45,1313706,3.582333333333333
18/08/2014,3.53,1505140,3.577
19/08/2014,3.57,1629137,3.5729999999999995
20/08/2014,3.66,2122998,3.573666666666666
21/08/2014,3.63,2469660,3.573999999999999
22/08/2014,3.65,1004287,3.5749999999999997
25/08/2014,3.59,1751258,3.574666666666666
26/08/2014,3.59,1060781,3.5749999999999997
27/08/2014,3.62,2098914,3.576333333333333
28/08/2014,3.64,2317672,3.576
29/08/2014,3.55,2878128,3.573333333333333
1/09/2014,3.61,1313702,3.5736666666666665
2/09/2014,3.63,1041535,3.574
3/09/2014,3.59,1831923,3.5743333333333336
4/09/2014,3.59,1019275,3.574333333333334
5/09/2014,3.58,737992,3.5733333333333337
8/09/2014,3.57,593318,3.5720000000000005
9/09/2014,3.55,924875,3.570666666666667
10/09/2014,3.52,976158,3.5656666666666665
11/09/2014,3.46,1051397,3.5589999999999997
12/09/2014,3.52,1077420,3.555666666666666
15/09/2014,3.46,1163102,3.5493333333333323
16/09/2014,3.32,2546060,3.539666666666666
17/09/2014,3.34,1107082,3.531666666666666
18/09/2014,3.3,1803549,3.527333333333332
19/09/2014,3.28,1319817,3.5213333333333323
22/09/2014,3.26,1469966,3.5146666666666655
23/09/2014,3.25,1470499,3.5073333333333325
24/09/2014,3.3,3059180,3.502333333333332
25/09/2014,3.3,1043670,3.4969999999999994
26/09/2014,3.29,2771048,3.4916666666666663
29/09/2014,3.25,1582279,3.4823333333333326
30/09/2014,3.21,1525251,3.4703333333333335
1/10/2014,3.26,2238429,3.457
2/10/2014,3.24,1352009,3.4440000000000004
3/10/2014,3.24,889047,3.430333333333333
6/10/2014,3.23,705532,3.4183333333333334
7/10/2014,3.21,1631553,3.4056666666666664
8/10/2014,3.21,1492901,3.392
9/10/2014,3.28,1636019,3.38
10/10/2014,3.19,1908054,3.368
13/10/2014,3.18,1134476,3.353666666666666
14/10/2014,3.19,1486896,3.338999999999999
15/10/2014,3.21,1019628,3.326333333333332
16/10/2014,3.25,2092507,3.314999999999999
17/10/2014,3.22,1461235,3.302999999999999
20/10/2014,3.26,755162,3.2926666666666664
21/10/2014,3.28,1010686,3.2836666666666665
22/10/2014,3.36,1444015,3.2783333333333333
23/10/2014,3.34,1229136,3.2743333333333333
24/10/2014,3.36,1357715,3.269
27/10/2014,3.33,1026870,3.2646666666666664
28/10/2014,3.31,1516703,3.2643333333333335
29/10/2014,3.32,1421421,3.2636666666666665
30/10/2014,3.31,891269,3.2640000000000002
31/10/2014,3.36,1282672,3.2666666666666666
3/11/2014,3.29,868818,3.2676666666666665
4/11/2014,3.33,860489,3.2703333333333333
5/11/2014,3.3,647082,3.2703333333333333
6/11/2014,3.31,684614,3.270666666666666
7/11/2014,3.4,1888023,3.2743333333333333
10/11/2014,3.45,1551595,3.281
11/11/2014,3.48,1454392,3.2900000000000005
12/11/2014,3.44,1392700,3.2960000000000003
13/11/2014,3.49,1686210,3.3043333333333336
14/11/2014,3.5,1234414,3.3130000000000006
17/11/2014,3.47,862141,3.321
18/11/2014,3.51,1515375,3.3310000000000004
19/11/2014,3.49,1047605,3.3403333333333336
20/11/2014,3.41,4047762,3.344666666666667
21/11/2014,3.38,1016745,3.351
24/11/2014,3.45,1593874,3.36
25/11/2014,3.43,1763746,3.368
26/11/2014,3.49,1141257,3.3773333333333326
27/11/2014,3.5,933039,3.385666666666666
28/11/2014,3.43,1182066,3.3926666666666665
1/12/2014,3.42,1390225,3.398
2/12/2014,3.48,1088736,3.4046666666666665
3/12/2014,3.5,1423464,3.4093333333333335
4/12/2014,3.52,3412273,3.4153333333333333
5/12/2014,3.57,1959280,3.4223333333333334
8/12/2014,3.59,1852962,3.431
9/12/2014,3.54,2581973,3.438666666666667
10/12/2014,3.54,1630101,3.446
11/12/2014,3.5,1959151,3.452333333333334
12/12/2014,3.48,1140407,3.456333333333334
15/12/2014,3.42,1121664,3.4606666666666674
