Date,Symbol,Open,High,Low,Close,Volume,extra,Moving Avg 30,Moving Avg 90
2014-08-01,ABC,3.62,3.65,3.605,3.62,1392165,,3.58766666667,3.65877777778
2014-08-04,ABC,3.6,3.655,3.59,3.65,741978,,3.596,3.65633333333
2014-08-05,ABC,3.61,3.675,3.6,3.61,1122738,,3.602,3.65322222222
2014-08-06,ABC,3.58,3.67,3.57,3.58,2671625,,3.607,3.64933333333
2014-08-07,ABC,3.48,3.48,3.38,3.43,8091480,,3.605,3.64344444444
2014-08-08,ABC,3.42,3.51,3.42,3.46,2645355,,3.60366666667,3.63733333333
2014-08-11,ABC,3.5,3.51,3.44,3.46,1596563,,3.604,3.63155555556
2014-08-12,ABC,3.45,3.49,3.45,3.47,1883380,,3.601,3.62577777778
2014-08-13,ABC,3.45,3.47,3.425,3.45,1536524,,3.59666666667,3.61988888889
2014-08-14,ABC,3.45,3.47,3.44,3.46,1260482,,3.59133333333,3.61511111111
2014-08-15,ABC,3.45,3.49,3.445,3.45,1313706,,3.58233333333,3.61
2014-08-18,ABC,3.45,3.55,3.45,3.53,1505140,,3.577,3.60577777778
2014-08-19,ABC,3.54,3.58,3.53,3.57,1629137,,3.573,3.60144444444
2014-08-20,ABC,3.57,3.69,3.57,3.66,2122998,,3.57366666667,3.59777777778
2014-08-21,ABC,3.7,3.71,3.62,3.63,2469660,,3.574,3.59455555556
2014-08-22,ABC,3.67,3.68,3.64,3.65,1004287,,3.575,3.59244444444
2014-08-25,ABC,3.65,3.67,3.59,3.59,1751258,,3.57466666667,3.58955555556
2014-08-26,ABC,3.61,3.62,3.57,3.59,1060781,,3.575,3.58644444444
2014-08-27,ABC,3.58,3.62,3.56,3.62,2098914,,3.57633333333,3.58333333333
2014-08-28,ABC,3.61,3.66,3.58,3.64,2317672,,3.576,3.58011111111
2014-08-29,ABC,3.65,3.65,3.53,3.55,2878128,,3.57333333333,3.57611111111
2014-09-01,ABC,3.58,3.63,3.54,3.61,1313702,,3.57366666667,3.57255555556
2014-09-02,ABC,3.6,3.64,3.57,3.63,1041535,,3.574,3.56877777778
2014-09-03,ABC,3.6,3.66,3.59,3.59,1831923,,3.57433333333,3.56555555556
2014-09-04,ABC,3.57,3.62,3.57,3.59,1019275,,3.57433333333,3.562
2014-09-05,ABC,3.61,3.62,3.57,3.58,737992,,3.57333333333,3.55933333333
2014-09-08,ABC,3.56,3.58,3.55,3.57,593318,,3.572,3.556
2014-09-09,ABC,3.57,3.59,3.54,3.55,924875,,3.57066666667,3.55177777778
2014-09-10,ABC,3.52,3.555,3.51,3.52,976158,,3.56566666667,3.54766666667
2014-09-11,ABC,3.53,3.53,3.46,3.46,1051397,,3.559,3.54377777778
2014-09-12,ABC,3.45,3.54,3.45,3.52,1077420,,3.55566666667,3.53977777778
2014-09-15,ABC,3.5,3.52,3.46,3.46,1163102,,3.54933333333,3.53577777778
2014-09-16,ABC,3.36,3.38,3.29,3.32,2546060,,3.53966666667,3.53022222222
2014-09-17,ABC,3.34,3.35,3.3,3.34,1107082,,3.53166666667,3.52422222222
2014-09-18,ABC,3.34,3.36,3.29,3.3,1803549,,3.52733333333,3.51822222222
2014-09-19,ABC,3.31,3.34,3.27,3.28,1319817,,3.52133333333,3.51188888889
2014-09-22,ABC,3.28,3.305,3.24,3.26,1469966,,3.51466666667,3.50577777778
2014-09-23,ABC,3.27,3.285,3.23,3.25,1470499,,3.50733333333,3.50055555556
2014-09-24,ABC,3.24,3.32,3.23,3.3,3059180,,3.50233333333,3.49555555556
2014-09-25,ABC,3.3,3.34,3.28,3.3,1043670,,3.497,3.493
2014-09-26,ABC,3.28,3.31,3.28,3.29,2771048,,3.49166666667,3.49033333333
2014-09-29,ABC,3.27,3.29,3.22,3.25,1582279,,3.48233333333,3.48788888889
2014-09-30,ABC,3.24,3.265,3.21,3.21,1525251,,3.47033333333,3.48544444444
2014-10-01,ABC,3.21,3.28,3.2,3.26,2238429,,3.457,3.48366666667
2014-10-02,ABC,3.23,3.29,3.22,3.24,1352009,,3.444,3.48155555556
2014-10-03,ABC,3.23,3.27,3.2,3.24,889047,,3.43033333333,3.47944444444
2014-10-06,ABC,3.27,3.27,3.2,3.23,705532,,3.41833333333,3.47788888889
2014-10-07,ABC,3.25,3.26,3.2,3.21,1631553,,3.40566666667,3.47633333333
2014-10-08,ABC,3.19,3.245,3.19,3.21,1492901,,3.392,3.47533333333
2014-10-09,ABC,3.25,3.35,3.24,3.28,1636019,,3.38,3.47566666667
2014-10-10,ABC,3.22,3.24,3.17,3.19,1908054,,3.368,3.47477777778
2014-10-13,ABC,3.18,3.2,3.13,3.18,1134476,,3.35366666667,3.473
2014-10-14,ABC,3.16,3.21,3.135,3.19,1486896,,3.339,3.47144444444
2014-10-15,ABC,3.18,3.23,3.17,3.21,1019628,,3.32633333333,3.47033333333
2014-10-16,ABC,3.2,3.25,3.12,3.25,2092507,,3.315,3.47011111111
2014-10-17,ABC,3.25,3.305,3.22,3.22,1461235,,3.303,3.47055555556
2014-10-20,ABC,3.26,3.27,3.225,3.26,755162,,3.29266666667,3.471
2014-10-21,ABC,3.25,3.31,3.25,3.28,1010686,,3.28366666667,3.47122222222
2014-10-22,ABC,3.33,3.37,3.31,3.36,1444015,,3.27833333333,3.47177777778
