Symbol, Date, Open, High, Low, Close, Volume
OTE,20140102,0.001,0.001,0.001,0.001,2542973
OTH,20140102,0.6,0.605,0.575,0.6,130003
OVL,20140102,0.02,0.02,0.018,0.02,296667
OXX,20140102,0.23,0.23,0.23,0.23,12000
OZF,20140102,20.35,20.35,20.31,20.31,2895
OZG,20140102,0.195,0.195,0.19,0.19,77440
OZL,20140102,3.18,3.3,3.15,3.26,1358600
OZR,20140102,10.23,10.23,10.23,10.23,400
PAA,20140102,0.011,0.011,0.011,0.011,3816983
PAB,20140102,0.054,0.056,0.053,0.053,11592149
PAN,20140102,0.245,0.25,0.24,0.245,189488
PBG,20140102,0.64,0.65,0.635,0.65,1030155
PBT,20140102,0.77,0.785,0.77,0.78,298993
PCL,20140102,0.061,0.064,0.061,0.062,1391796
PDI,20140102,0.019,0.02,0.019,0.02,420000
PDM,20140102,0.005,0.005,0.005,0.005,5000
PDN,20140102,0.47,0.475,0.455,0.46,2556992
PDY,20140102,0.01,0.011,0.009,0.01,9398241
PDZ,20140102,0.32,0.32,0.315,0.315,25000
PEA,20140102,0.4,0.4,0.4,0.4,5000
PEC,20140102,0.045,0.053,0.045,0.053,25003
PEK,20140102,0.067,0.067,0.065,0.065,201556
PEN,20140102,0.021,0.022,0.021,0.021,890189
PEX,20140102,0.25,0.25,0.25,0.25,5000
PFG,20140102,0.145,0.145,0.145,0.145,50000
PFL,20140102,1.39,1.4,1.38,1.4,26434
PGF,20140102,0.96,0.97,0.96,0.97,243447
PGH,20140102,3.28,3.41,3.28,3.31,852855
PGI,20140102,0.041,0.043,0.041,0.042,709195
PGL,20140102,0.265,0.265,0.26,0.26,20000
PGS,20140102,0.016,0.016,0.016,0.016,617199
PHG,20140102,0.345,0.345,0.345,0.345,5825
PHI,20140102,3.3,3.3,3.3,3.3,3000
PIM,20140102,0.007,0.007,0.007,0.007,34000
PIO,20140102,0.012,0.014,0.012,0.014,460000
PIR,20140102,0.985,1.025,0.972,1.02,741788
PKO,20140102,0.009,0.009,0.009,0.009,222000
PLV,20140102,0.17,0.17,0.16,0.16,186000
PMC,20140102,1.67,1.685,1.66,1.68,227496
PME,20140102,0.705,0.705,0.7,0.7,22161
PMP,20140102,0.405,0.405,0.395,0.395,10369
PMV,20140102,8.2,8.35,8.145,8.35,226684
PMY,20140102,0.028,0.028,0.026,0.028,1299297
